"Alvin And The Chipmunks","2007","91 mins","Animation; Comedy; Family; Fantasy","No","","0","Vudu","PG"
"Alvin And The Chipmunks: The Squeakquel","2009","85 mins","Animation; Comedy; Family","No","","0","Vudu","PG"
"Alvin And The Chipmunks: The Road Chip","2015","92 mins","Adventure; Animation; Comedy; Family; Fantasy","No","","0","Vudu","PG"
"Alvin And The Chipmunks: Chipwrecked","2011","87 mins","Adventure; Comedy; Family; Fantasy; Music; Musical","No","","0","Vudu","G"
"Ambulance","2022","137 mins","Action; Crime; Drama; Thriller","No","","0","Vudu","R"
"The Ambushers","1967","102 mins","Action; Comedy; Science Fiction; Thriller","No","","0","Vudu","US - Approved"
"American Beauty","1999","122 mins","Drama","No","","0","Vudu","R"
"An American in Paris","1951","114 mins","Drama; Musical; Romance","No","","0","DVD","US - Approved"
"The American President","1995","114 mins","Comedy; Drama; Romance","No","","0","Vudu","PG-13"
"American Sniper","2014","132 mins","Action; Biography; Drama; History; Romance; Thriller; War","No","","0","Vudu","R"
"An American Tail","1986","80 mins","Adventure; Animation; Comedy; Family","No","","0","Vudu","G"
"American Underdog","2021","112 mins","Biography; Drama; Sports","No","","0","Vudu","PG"
"A Bone to Pick: An Aurora Teagarden Mystery","2015","1130 mins","Crime; Mystery","No","Aurora Teagarden Mysteries","13","Vudu","TV-G"
"Real Murders: An Aurora Teagarden Mystery","2015","120 mins","Crime; Mystery","No","","0","Vudu","TV-G"
"The Julius House: An Aurora Teagarden Mystery","2016","120 mins","Crime; Mystery","No","","0","Vudu","TV-G"
"Three Bedrooms, One Corpse: An Aurora Teagarden Mystery","2016","84 mins","Crime; Mystery","No","","0","Vudu","TV-G"
"A Bundle of Trouble: An Aurora Teagarden Mystery","2017","90 mins","Crime; Mystery","No","","0","Vudu","TV-G"
"Dead Over Heels: An Aurora Teagarden Mystery","2017","84 mins","Crime; Mystery","No","","0","Vudu","TV-G"
"Anaconda","2025","99 mins","Action; Adventure; Horror; Thriller","No","","0","Vudu","PG-13"
"Anaconda 3: Offspring","2008","91 mins","Action; Adventure; Horror; Science Fiction; Thriller","No","","0","Vudu","R"
"Anacondas: The Hunt for the Blood Orchid","2004","97 mins","Action; Adventure; Horror; Thriller","No","","0","Vudu","PG-13"
"Anacondas: Trail of Blood","2009","89 mins","Action; Adventure; Horror; Science Fiction; Thriller","No","","0","Vudu","R"
"Analyze That","2002","96 mins","Comedy; Crime","No","","0","Vudu","R"
"Anatomy of a Murder","1959","161 mins","Drama; Mystery","No","","0","Vudu","US - Approved"
"Anchorman: The Legend of Ron Burgundy","2004","94 mins","Comedy","No","","0","Vudu","PG-13"
"And Justice for All","1979","119 mins","Crime; Drama; Thriller","No","","0","Vudu","R"
"And Soon The Darkness","1970","94 mins","Crime; Mystery; Thriller","No","","0","","US - Approved"
"Angel And The Badman","1947","100 mins","Romance; Western","No","","0","VHS","US - Approved"
"Angel Has Fallen","2019","121 mins","Action; Thriller","No","","0","Vudu","R"
"Angel Wars: Guardian Force","2005","60 mins","Animation","No","","0","DVD","G"
"Angels & Demons","2009","138 mins","Mystery; Thriller","No","","0","Vudu","PG-13"
"Angels In The Endzone","1997","87 mins","Comedy; Drama; Family; Fantasy","No","","0","DVD","G"
"Angels In The Infield","2000","93 mins","Comedy; Family; Fantasy; Science Fiction","No","","0","DVD","PG"
"Angels In The Outfield","1994","103 mins","Comedy; Drama; Family; Fantasy","No","","0","DVD; Vudu","PG"
"Anger Management","2003","106 mins","Comedy","No","","0","Vudu","R"
"The Angry Birds Movie","2016","194 mins","Action; Animation; Children; Comedy","No","","0","Vudu","PG"
"The Angry Birds Movie 2","2019","97 mins","Action; Adventure; Animation; Comedy; Family","No","","0","Vudu","PG"
"Anna","2019","118 mins","Action; Thriller","No","","0","Vudu","R"
"Annabelle","2014","99 mins","Horror; Mystery; Thriller","No","","0","Vudu","R"
"Annie","1982","126 mins","Comedy; Drama; Family; Musical","No","","0","Vudu","PG"
"Annihilation","2018","115 mins","Adventure; Drama; Horror; Mystery; Science Fiction; Thriller","No","","0","Vudu","R"
"Antitrust","2000","104 mins","Crime; Mystery; Thriller","No","","0","Vudu","PG-13"
"Ant-Man","2015","117 mins","Action; Adventure; Comedy; Science Fiction","No","","0","Vudu","PG"
"Ant-Man And The Wasp","2018","118 mins","Action; Adventure; Comedy; Family; Fantasy; Romance; Science Fiction","No","","0","Vudu","PG-13"
"Ant-Man and the Wasp: Quantumania","2023","124 mins","Action; Adventure; Comedy; Science Fiction","No","","0","Vudu","PG-13"
"Anzio","1968","117 mins","Drama; History; War","No","","0","Vudu","PG"
