title,year,id,type,season
The Dukes of Hazzard: Season 6,1983,138717,show,6
The Fairly OddParents: Volume 6,2006,458897,show,6
The Flintstones: Season 6,1965,134461,show,6
The Fresh Prince of Bel-Air: Season 6,1995,232979,show,6
The Office: Season 6,2009,198833,show,6
"The Three Stooges Collection: Volume 6, 1949-1951",1949,437655,show,6
The Waltons: Season 6,1977,1152760,show,6
Young Sheldon: Season 6,2022,2139363,show,6
According To Jim: Season 7,2008,320730,show,7
Alice: Season 7,1982,4105408,show,7
Bewitched: Season 7,1970,4009360,show,7
Cheers: Season 7,1988,255984,show,7
Criminal Minds: Season 7,2011,239258,show,7
CSI: Crime Scene Investigation: Season 7,2006,239237,show,7
CSI: NY: Season 7,2010,243517,show,7
"Doctor Who: Season 7, Part 1",,371254,show,7
"Doctor Who: Season 7, Part 2",,422862,show,7
Duck Dynasty: Season 7,2014,623527,show,7
Family Matters: Season 7,1995,1153336,show,7
Family Ties: Season 7,1988,368620,show,7
Finding Your Roots: Season 7,,1645707,show,7
Frasier: Season 7,1999,520700,show,7
Friends: Season 7,2000,135738,show,7
Full House: Season 7,1993,1150837,show,7
Growing Pains: Season 7,1991,236207,show,7
Home Improvement: Season 7,1997,550862,show,7
Last Man Standing: Season 7,2018,976566,show,7
Little House on the Prairie: Season 7,1980,581001,show,7
Mission Impossible: Season 7,1972,523079,show,7
Modern Family: Season 7,2015,695069,show,7
"Murder, She Wrote: Season 7",1990,3644621,show,7
Parks and Recreation: Season 7,2015,630785,show,7
Scrubs: Season 7,2007,326872,show,7
Step by Step: Season 7,1997,3214928,show,7
The Andy Griffith Show: Season 7,1966,520992,show,7
The Big Bang Theory: Season 7,,480050,show,7
The Dukes of Hazzard: Season 7,1984,138718,show,7
The Fairly OddParents: Volume 7,2005,458921,show,7
The Office: Season 7,2010,200302,show,7
"The Three Stooges Collection: Volume 7, 1952-1954",1952,437705,show,7
The Waltons: Season 7,1978,1152450,show,7
Who Do You Think You Are?: Season 7,,762298,show,7
Young Sheldon: Season 7,2024,2991297,show,7
According To Jim: Season 8,2008,320806,show,8
Alice: Season 8,1983,4105492,show,8
Bewitched: Season 8,1971,4009421,show,8
Cheers: Season 8,1989,256007,show,8
Criminal Minds: Season 8,2012,376548,show,8
CSI: Crime Scene Investigation: Season 8,2007,239238,show,8
CSI: NY: Season 8,2011,238237,show,8
Doctor Who: Season 8,,565378,show,8
Duck Dynasty: Season 8,2015,673115,show,8
Family Matters: Season 8,1996,1153416,show,8
Finding Your Roots: Season 8,,1977657,show,8
Frasier: Season 8,2000,520958,show,8
Friends: Season 8,2001,135763,show,8
Full House: Season 8,1994,1150912,show,8
Home Improvement: Season 8,1998,550998,show,8
Last Man Standing: Season 8,2020,1330771,show,8
Little House on the Prairie: Season 8,1981,581743,show,8
Modern Family: Season 8,2016,796227,show,8
"Murder, She Wrote: Season 8",1991,3644759,show,8
Scrubs: Season 8,2009,326792,show,8
The Andy Griffith Show: Season 8,1967,521254,show,8
The Big Bang Theory: Season 8,,567257,show,8
The Fairly OddParents: Volume 8,2008,458949,show,8
The Office: Season 8,2011,229680,show,8
"The Three Stooges Collection: Volume 8, 1955-1959",1955,437751,show,8
The Waltons: Season 8,1979,1152682,show,8
Who Do You Think You Are?: Season 8,,851917,show,8
Alice: Season 9,1984,4105576,show,9
Cheers: Season 9,1990,256034,show,9
Criminal Minds: Season 9,2013,475556,show,9
CSI: Crime Scene Investigation: Season 9,2008,239239,show,9
CSI: NY: Season 9,2012,376544,show,9
Doctor Who: Season 9,,695370,show,9
Duck Dynasty: Season 9,2016,744555,show,9
Family Matters: Season 9,1997,1153491,show,9
Frasier: Season 9,2001,521134,show,9
Friends: Season 9,2002,135788,show,9
Last Man Standing: Season 9,2021,1603195,show,9
Little House on the Prairie: Season 9,1982,582315,show,9
Modern Family: Season 9,2017,878591,show,9
"Murder, She Wrote: Season 9",1992,3644897,show,9
Scrubs: Season 9,2009,362775,show,9
The Big Bang Theory: Season 9,,691505,show,9
The Fairly OddParents: Volume 9,2009,458977,show,9
The Office: Season 9,2012,365464,show,9
The Waltons: Season 9,1980,1152850,show,9
